City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
218,Alofi,100,NU,1593858771,100,-19.06,-169.92,69.8,13.87
219,Sistranda,75,NO,1593858854,71,63.73,8.83,55.4,9.17
220,Doha,29,QA,1593858858,21,25.29,51.53,116.01,19.46
221,Anastácio,14,BR,1593858731,70,-20.48,-55.81,60.21,3.42
222,Mossamedes,0,AO,1593858685,94,-15.2,12.15,69.8,8.05
223,Harper,72,LR,1593858862,75,4.38,-7.72,79.43,11.68
224,Moranbah,0,AU,1593858634,39,-22.0,148.05,56.25,9.15
225,Digha,51,IN,1593858865,69,21.68,87.55,88.88,13.04
226,Leshukonskoye,21,RU,1593858867,42,64.9,45.76,76.37,8.75
227,Alexandria,0,EG,1593858617,58,31.22,29.96,86.0,11.41
228,Imbituba,20,BR,1593858730,81,-28.24,-48.67,51.8,4.7
229,Makakilo City,1,US,1593858616,83,21.35,-158.09,75.2,3.36
230,Gondanglegi,9,ID,1593858873,68,-7.75,112.01,75.69,2.13
231,Kirensk,32,RU,1593858874,40,57.79,108.11,73.47,7.7
232,Katsuura,100,JP,1593858727,93,35.13,140.3,80.01,8.01
233,Vila Velha,40,BR,1593858877,83,-20.33,-40.29,70.0,6.93
234,Bambous Virieux,40,MU,1593858879,69,-20.34,57.76,75.99,12.75
235,Kaseda-shirakame,75,JP,1593858718,88,31.42,130.32,77.0,8.05
236,Plastun,10,RU,1593858882,86,44.76,136.29,64.06,3.29
237,Berlevåg,100,NO,1593858883,70,70.86,29.09,53.42,10.18
238,Alice Town,99,BS,1593858885,72,25.72,-79.3,84.2,8.48
239,Torquay,100,GB,1593858887,93,50.46,-3.51,64.99,11.01
240,Gerāsh,4,IR,1593858708,8,27.67,54.14,110.86,11.01
241,Hobyo,81,SO,1593858890,52,5.35,48.53,85.53,28.97
242,Sambava,96,MG,1593858893,87,-14.27,50.17,74.08,11.86
